demand_line_id,asn,part_number,quantity_needed,delivery_date
DL00012,ASN500126,P1003,43,2026-02-11
DL00256,ASN500096,P1087,48,2026-04-17
DL01146,ASN500103,P1396,118,2026-02-01
DL00153,ASN500119,P1053,103,2026-04-17
DL01177,ASN500077,P1405,158,2026-03-21
DL01183,ASN500038,P1407,173,2026-02-13
DL00076,ASN500103,P1021,172,2026-02-05
DL00912,ASN500047,P1319,43,2026-03-17
DL00558,ASN500031,P1196,100,2026-03-08
DL01083,ASN500133,P1375,138,2026-02-13
DL00064,ASN500073,P1018,167,2026-05-05
DL01032,ASN500009,P1359,39,2026-03-11
DL00269,ASN500074,P1092,162,2026-03-27
DL00240,ASN500033,P1081,26,2026-05-04
DL00447,ASN500093,P1156,92,2026-03-07
DL00774,ASN500059,P1275,87,2026-01-30
DL00984,ASN500092,P1339,113,2026-02-19
DL00779,ASN500072,P1277,96,2026-02-26
DL00977,ASN500003,P1338,11,2026-05-04
DL00493,ASN500042,P1172,129,2026-03-24
DL00740,ASN500040,P1263,155,2026-04-25
DL01188,ASN500116,P1409,29,2026-04-11
DL00257,ASN500029,P1088,140,2026-01-12
DL00890,ASN500131,P1312,31,2026-03-05
DL00263,ASN500092,P1090,89,2026-04-13
DL00204,ASN500103,P1069,57,2026-05-06
DL01062,ASN500080,P1369,121,2026-03-20
DL00578,ASN500029,P1205,44,2026-03-12
DL00159,ASN500092,P1054,157,2026-01-16
DL00945,ASN500082,P1328,128,2026-03-11
DL01003,ASN500054,P1347,87,2026-04-17
DL00265,ASN500012,P1091,80,2026-04-20
DL00690,ASN500096,P1246,153,2026-02-04
DL01213,ASN500030,P1418,26,2026-03-31
DL00727,ASN500025,P1258,24,2026-01-27
DL00379,ASN500107,P1133,63,2026-04-01
DL00714,ASN500048,P1254,110,2026-01-29
DL00217,ASN500011,P1073,128,2026-02-15
DL01164,ASN500038,P1402,175,2026-02-04
DL01116,ASN500059,P1385,56,2026-02-26
DL00401,ASN500107,P1140,112,2026-03-27
DL00102,ASN500000,P1030,37,2026-02-04
DL00750,ASN500092,P1267,34,2026-02-17
DL00672,ASN500090,P1239,32,2026-03-13
DL00376,ASN500065,P1132,159,2026-04-10
DL00898,ASN500034,P1313,114,2026-05-02
DL00947,ASN500060,P1328,94,2026-01-25
DL00163,ASN500123,P1055,146,2026-03-16
DL00075,ASN500065,P1021,172,2026-02-08
DL00431,ASN500029,P1150,147,2026-01-21
DL00318,ASN500028,P1108,32,2026-03-26
DL00662,ASN500079,P1234,12,2026-02-06
DL00863,ASN500089,P1305,150,2026-01-31
DL00459,ASN500012,P1159,107,2026-02-13
DL00505,ASN500063,P1175,101,2026-02-24
DL01064,ASN500120,P1369,135,2026-02-18
DL00642,ASN500057,P1227,40,2026-02-28
DL00644,ASN500010,P1228,13,2026-04-26
DL00817,ASN500113,P1290,39,2026-05-05
DL01135,ASN500138,P1392,70,2026-02-14
DL00736,ASN500098,P1261,10,2026-01-12
DL00824,ASN500003,P1292,97,2026-03-09
DL00420,ASN500088,P1146,167,2026-03-21
DL00575,ASN500075,P1203,90,2026-04-18
DL00996,ASN500015,P1344,144,2026-03-11
DL00177,ASN500134,P1061,64,2026-03-30
DL01027,ASN500043,P1357,123,2026-04-03
DL00787,ASN500056,P1280,178,2026-01-11
DL00954,ASN500020,P1331,154,2026-01-28
DL00958,ASN500044,P1332,75,2026-04-30
DL01098,ASN500112,P1379,28,2026-03-14
DL00470,ASN500066,P1162,82,2026-01-29
DL00239,ASN500010,P1081,15,2026-03-28
DL00042,ASN500021,P1012,126,2026-01-08
DL00151,ASN500000,P1051,157,2026-05-03
DL00348,ASN500026,P1122,165,2026-02-16
DL00355,ASN500136,P1123,157,2026-04-12
DL01154,ASN500052,P1398,137,2026-01-18
DL00759,ASN500061,P1269,38,2026-01-17
DL00692,ASN500062,P1248,88,2026-02-01
DL01189,ASN500028,P1410,46,2026-03-23
DL00474,ASN500133,P1163,15,2026-04-21
DL00306,ASN500021,P1103,134,2026-01-07
DL00624,ASN500126,P1220,154,2026-03-11
DL00528,ASN500132,P1183,43,2026-02-06
DL00566,ASN500098,P1199,10,2026-03-27
DL00988,ASN500008,P1340,170,2026-02-14
DL00670,ASN500089,P1237,117,2026-03-31
DL00193,ASN500047,P1065,163,2026-02-14
DL01205,ASN500072,P1413,108,2026-03-18
DL00233,ASN500125,P1079,124,2026-02-05
DL00439,ASN500119,P1154,100,2026-03-01
DL00601,ASN500133,P1211,109,2026-04-23
DL01203,ASN500137,P1413,15,2026-03-11
DL01047,ASN500104,P1364,147,2026-02-21
DL00554,ASN500050,P1195,178,2026-04-11
DL00557,ASN500095,P1196,70,2026-02-24
DL00567,ASN500019,P1199,120,2026-02-18
DL00552,ASN500014,P1195,30,2026-01-24
DL00326,ASN500052,P1111,57,2026-01-20
DL00589,ASN500113,P1208,5,2026-04-17
DL00200,ASN500078,P1067,111,2026-01-12
DL01155,ASN500119,P1398,29,2026-01-31
DL00718,ASN500000,P1255,83,2026-04-06
DL00368,ASN500050,P1128,103,2026-01-25
DL00150,ASN500081,P1051,75,2026-02-13
DL00234,ASN500117,P1080,50,2026-04-19
DL01191,ASN500008,P1410,15,2026-03-12
DL00331,ASN500066,P1114,10,2026-02-19
DL00283,ASN500102,P1096,72,2026-01-07
DL00563,ASN500056,P1198,24,2026-05-05
DL00970,ASN500007,P1336,59,2026-02-16
DL00654,ASN500031,P1231,135,2026-01-22
DL01212,ASN500132,P1418,33,2026-02-12
DL00591,ASN500092,P1208,116,2026-01-11
DL00021,ASN500012,P1005,165,2026-01-08
DL00499,ASN500115,P1174,74,2026-04-16
DL00507,ASN500115,P1176,77,2026-04-04
DL00005,ASN500001,P1001,28,2026-02-08
DL00059,ASN500064,P1017,100,2026-01-14
DL00206,ASN500040,P1069,113,2026-01-20
DL00316,ASN500019,P1107,149,2026-05-02
DL00471,ASN500008,P1163,86,2026-01-08
DL00095,ASN500005,P1027,37,2026-01-10
DL00976,ASN500065,P1338,123,2026-04-27
DL00446,ASN500032,P1156,91,2026-01-18
DL00325,ASN500098,P1111,32,2026-02-06
DL00342,ASN500125,P1120,52,2026-03-10
DL00094,ASN500114,P1027,115,2026-02-14
DL00486,ASN500047,P1170,17,2026-02-21
DL00666,ASN500041,P1235,66,2026-02-16
DL00904,ASN500125,P1316,16,2026-04-20
DL01130,ASN500065,P1391,174,2026-04-25
DL01018,ASN500063,P1353,46,2026-02-15
DL00540,ASN500046,P1189,101,2026-01-16
DL01161,ASN500081,P1401,148,2026-04-08
DL00319,ASN500088,P1109,41,2026-04-05
DL00009,ASN500021,P1002,154,2026-03-14
DL01199,ASN500061,P1412,34,2026-01-25
DL00673,ASN500057,P1239,178,2026-04-10
DL01029,ASN500086,P1357,169,2026-05-03
DL00925,ASN500011,P1322,59,2026-01-27
DL00427,ASN500023,P1150,176,2026-05-01
DL01185,ASN500115,P1408,128,2026-02-06
DL00705,ASN500124,P1251,107,2026-03-03
DL00455,ASN500049,P1158,86,2026-04-07
DL00966,ASN500020,P1335,23,2026-04-19
DL01162,ASN500039,P1401,84,2026-05-02
DL01127,ASN500132,P1390,6,2026-01-29
DL00066,ASN500130,P1019,85,2026-01-30
DL00255,ASN500071,P1087,178,2026-02-16
DL01136,ASN500051,P1392,38,2026-01-12
DL00916,ASN500003,P1320,11,2026-02-18
DL00571,ASN500115,P1201,146,2026-04-29
DL00018,ASN500058,P1004,26,2026-01-09
DL01015,ASN500068,P1352,39,2026-04-21
DL00365,ASN500133,P1126,94,2026-01-26
DL00957,ASN500017,P1332,129,2026-02-15
DL00932,ASN500011,P1324,166,2026-01-24
DL01042,ASN500127,P1362,24,2026-02-19
DL00760,ASN500050,P1269,74,2026-03-16
DL01208,ASN500003,P1415,32,2026-05-06
DL00162,ASN500016,P1055,171,2026-01-10
DL00417,ASN500092,P1145,44,2026-05-04
DL00724,ASN500050,P1257,110,2026-03-24
DL00020,ASN500092,P1004,31,2026-02-23
DL00923,ASN500084,P1322,140,2026-02-02
DL00896,ASN500003,P1313,157,2026-02-02
DL00390,ASN500139,P1137,60,2026-01-26
DL00118,ASN500126,P1035,13,2026-04-05
DL00120,ASN500101,P1036,55,2026-01-06
DL00881,ASN500028,P1309,61,2026-04-26
DL00260,ASN500064,P1089,142,2026-03-27
DL00671,ASN500132,P1238,104,2026-04-22
DL00291,ASN500014,P1098,31,2026-01-07
DL00351,ASN500006,P1122,100,2026-02-01
DL00441,ASN500046,P1154,168,2026-02-21
DL00222,ASN500055,P1075,15,2026-02-26
DL00993,ASN500092,P1342,43,2026-03-27
DL00044,ASN500129,P1012,120,2026-02-09
DL00425,ASN500053,P1149,108,2026-04-17
DL00062,ASN500070,P1018,17,2026-02-10
DL00463,ASN500096,P1160,162,2026-01-24
DL00293,ASN500132,P1099,160,2026-03-29
DL00111,ASN500117,P1032,76,2026-02-15
DL00284,ASN500014,P1096,170,2026-04-21
DL00669,ASN500005,P1236,45,2026-03-17
DL00655,ASN500075,P1231,109,2026-03-20
DL01076,ASN500093,P1372,66,2026-04-02
DL00527,ASN500091,P1183,108,2026-04-15
DL01165,ASN500100,P1402,13,2026-02-16
DL01143,ASN500082,P1394,14,2026-02-10
DL00223,ASN500132,P1075,45,2026-02-24
DL00157,ASN500038,P1054,160,2026-02-05
DL01112,ASN500118,P1384,116,2026-02-28
DL00565,ASN500114,P1199,29,2026-05-04
DL00895,ASN500012,P1313,100,2026-01-11
DL00942,ASN500130,P1327,167,2026-02-06
DL00782,ASN500007,P1277,98,2026-04-02
DL01066,ASN500090,P1370,21,2026-02-25
DL00675,ASN500090,P1239,40,2026-04-02
DL01040,ASN500139,P1362,133,2026-01-20
DL00899,ASN500051,P1314,149,2026-01-20
DL00241,ASN500080,P1081,135,2026-01-16
DL01092,ASN500097,P1377,69,2026-01-08
DL00568,ASN500082,P1199,64,2026-03-08
DL00748,ASN500091,P1266,102,2026-01-29
DL01109,ASN500114,P1382,102,2026-02-25
DL00889,ASN500129,P1312,34,2026-03-27
DL00857,ASN500130,P1302,113,2026-01-24
DL01139,ASN500036,P1394,98,2026-05-05
DL00226,ASN500009,P1076,175,2026-04-23
DL00953,ASN500087,P1330,23,2026-05-03
DL00477,ASN500099,P1165,157,2026-03-22
DL00547,ASN500094,P1193,65,2026-04-08
DL00836,ASN500023,P1296,169,2026-02-11
DL00762,ASN500061,P1270,45,2026-02-22
DL00963,ASN500072,P1334,133,2026-03-29
DL00208,ASN500117,P1070,46,2026-01-22
DL00048,ASN500033,P1013,159,2026-04-20
DL00252,ASN500067,P1085,162,2026-03-11
DL01217,ASN500025,P1419,15,2026-02-02
DL01128,ASN500137,P1390,75,2026-03-13
DL00060,ASN500100,P1017,104,2026-04-27
DL01192,ASN500024,P1410,110,2026-03-29
DL00851,ASN500040,P1300,81,2026-03-24
DL00294,ASN500129,P1099,170,2026-03-29
DL00837,ASN500064,P1296,172,2026-02-06
DL00145,ASN500103,P1047,15,2026-02-23
DL00911,ASN500124,P1318,33,2026-01-15
DL00539,ASN500009,P1189,91,2026-01-31
DL00194,ASN500019,P1065,57,2026-01-10
DL00051,ASN500124,P1014,105,2026-01-09
DL00026,ASN500134,P1006,21,2026-04-11
DL00814,ASN500079,P1289,40,2026-01-23
DL01209,ASN500125,P1416,151,2026-02-01
DL00876,ASN500095,P1308,147,2026-03-21
DL00124,ASN500067,P1038,80,2026-01-19
DL00309,ASN500083,P1104,54,2026-04-28
DL00403,ASN500077,P1141,107,2026-05-06
DL00113,ASN500063,P1033,12,2026-02-27
DL00100,ASN500039,P1028,43,2026-03-13
DL00535,ASN500054,P1188,71,2026-05-04
DL00511,ASN500036,P1177,151,2026-01-24
DL01036,ASN500028,P1360,35,2026-03-09
DL00956,ASN500091,P1332,114,2026-04-08
DL00685,ASN500100,P1244,139,2026-03-18
DL00619,ASN500049,P1219,71,2026-01-08
DL01078,ASN500045,P1373,168,2026-04-21
DL00268,ASN500008,P1092,61,2026-01-25
DL00416,ASN500124,P1144,114,2026-03-26
DL01145,ASN500053,P1395,156,2026-03-25
DL01059,ASN500029,P1368,27,2026-04-23
DL01186,ASN500084,P1408,98,2026-01-28
DL01181,ASN500076,P1406,13,2026-03-21
DL00071,ASN500035,P1020,169,2026-04-27
DL00421,ASN500002,P1147,58,2026-01-15
DL00278,ASN500052,P1094,98,2026-03-26
DL00187,ASN500027,P1063,168,2026-03-23
DL00182,ASN500075,P1062,64,2026-01-21
DL01126,ASN500082,P1390,90,2026-01-30
DL00845,ASN500091,P1298,86,2026-02-04
DL00383,ASN500025,P1134,112,2026-02-06
DL00536,ASN500071,P1188,114,2026-01-18
DL01096,ASN500139,P1378,75,2026-05-03
DL01082,ASN500093,P1375,96,2026-03-31
DL00737,ASN500056,P1261,106,2026-03-21
DL01134,ASN500097,P1392,116,2026-04-25
DL00292,ASN500050,P1098,41,2026-02-27
DL00341,ASN500001,P1119,94,2026-03-09
DL00865,ASN500082,P1305,137,2026-03-05
DL00703,ASN500095,P1251,133,2026-02-26
DL01158,ASN500039,P1400,19,2026-05-04
DL01043,ASN500055,P1362,62,2026-04-09
DL00595,ASN500058,P1209,49,2026-01-31
DL00708,ASN500019,P1253,84,2026-03-12
DL01104,ASN500065,P1381,95,2026-02-05
DL00093,ASN500063,P1027,103,2026-02-26
DL00846,ASN500094,P1298,39,2026-03-17
DL00160,ASN500050,P1055,105,2026-04-12
DL00981,ASN500004,P1339,44,2026-02-01
DL00755,ASN500048,P1268,124,2026-02-11
DL00531,ASN500039,P1186,85,2026-03-23
DL00433,ASN500035,P1151,126,2026-03-10
DL00870,ASN500076,P1306,149,2026-03-20
DL00098,ASN500135,P1028,124,2026-03-04
DL00608,ASN500001,P1214,96,2026-03-13
DL00585,ASN500041,P1207,19,2026-04-22
DL00810,ASN500041,P1287,168,2026-02-05
DL00172,ASN500066,P1059,55,2026-03-03
DL00344,ASN500040,P1121,77,2026-04-20
DL00697,ASN500111,P1249,137,2026-04-21
DL01150,ASN500127,P1397,51,2026-01-07
DL01020,ASN500013,P1354,58,2026-04-24
DL00766,ASN500033,P1272,71,2026-03-23
DL00733,ASN500008,P1260,73,2026-03-27
DL00016,ASN500129,P1004,150,2026-04-22
DL00106,ASN500111,P1031,33,2026-01-18
DL00166,ASN500053,P1057,29,2026-02-28
DL00464,ASN500021,P1160,59,2026-01-11
DL00788,ASN500103,P1280,15,2026-03-24
DL00501,ASN500015,P1174,164,2026-03-30
DL00907,ASN500008,P1317,177,2026-02-06
DL00969,ASN500003,P1336,168,2026-02-16
DL00405,ASN500118,P1142,59,2026-01-27
DL00357,ASN500083,P1123,138,2026-01-25
DL00637,ASN500090,P1224,68,2026-04-27
DL00728,ASN500125,P1259,124,2026-03-25
DL00656,ASN500073,P1231,75,2026-02-06
DL00131,ASN500115,P1040,85,2026-04-09
DL00052,ASN500040,P1014,5,2026-03-09
DL01102,ASN500113,P1380,101,2026-02-21
DL00231,ASN500094,P1078,119,2026-03-11
DL00641,ASN500051,P1226,134,2026-04-01
DL00353,ASN500128,P1123,48,2026-02-23
DL00900,ASN500043,P1315,98,2026-04-11
DL00926,ASN500092,P1322,124,2026-02-17
DL00253,ASN500060,P1085,86,2026-02-22
DL00370,ASN500070,P1129,55,2026-01-19
DL00058,ASN500050,P1016,8,2026-05-01
DL00971,ASN500083,P1336,11,2026-03-30
DL00396,ASN500105,P1138,121,2026-02-01
DL00767,ASN500112,P1272,155,2026-02-22
DL00186,ASN500066,P1063,175,2026-01-06
DL00038,ASN500055,P1010,177,2026-03-09
DL00668,ASN500072,P1235,60,2026-02-12
DL00775,ASN500027,P1275,22,2026-03-18
DL00635,ASN500082,P1223,107,2026-04-24
DL00374,ASN500056,P1131,133,2026-03-27
DL00921,ASN500114,P1321,105,2026-02-04
DL00604,ASN500104,P1213,127,2026-01-23
DL00972,ASN500103,P1337,161,2026-04-02
DL00411,ASN500058,P1143,73,2026-04-06
DL01046,ASN500050,P1364,135,2026-01-12
DL00852,ASN500020,P1300,41,2026-04-04
DL00307,ASN500043,P1103,71,2026-05-01
DL00036,ASN500003,P1009,128,2026-01-13
DL00764,ASN500053,P1271,81,2026-03-07
DL00647,ASN500025,P1229,69,2026-01-21
DL00537,ASN500114,P1188,156,2026-04-20
DL00380,ASN500058,P1134,178,2026-01-29
DL00330,ASN500075,P1113,86,2026-02-18
DL00495,ASN500112,P1172,125,2026-04-02
DL00538,ASN500033,P1189,70,2026-04-23
DL00133,ASN500047,P1042,172,2026-05-05
DL01142,ASN500136,P1394,22,2026-02-27
DL00882,ASN500064,P1309,171,2026-01-18
DL00415,ASN500077,P1144,87,2026-03-08
DL00047,ASN500134,P1013,72,2026-02-21
DL01090,ASN500133,P1377,174,2026-02-05
DL00681,ASN500106,P1243,76,2026-04-27
DL00494,ASN500015,P1172,85,2026-02-22
DL00964,ASN500025,P1334,55,2026-02-05
DL00201,ASN500079,P1067,150,2026-04-29
DL01005,ASN500016,P1348,170,2026-05-02
DL00615,ASN500062,P1218,27,2026-02-03
DL00382,ASN500080,P1134,71,2026-03-27
DL00746,ASN500102,P1265,129,2026-01-08
DL01114,ASN500016,P1384,117,2026-02-25
DL00691,ASN500084,P1247,87,2026-04-23
DL00919,ASN500046,P1321,163,2026-04-20
DL00594,ASN500046,P1209,138,2026-04-14
DL00939,ASN500072,P1326,65,2026-04-27
DL00091,ASN500032,P1026,180,2026-03-11
DL01052,ASN500108,P1366,86,2026-03-16
DL00367,ASN500026,P1127,47,2026-03-31
DL00221,ASN500050,P1075,126,2026-01-29
DL00134,ASN500134,P1042,124,2026-01-10
DL00366,ASN500083,P1127,53,2026-02-08
DL01174,ASN500125,P1405,94,2026-01-08
DL00387,ASN500104,P1135,137,2026-04-02
DL00148,ASN500086,P1050,97,2026-02-09
DL00680,ASN500127,P1242,106,2026-03-20
DL00445,ASN500054,P1156,111,2026-03-27
DL01006,ASN500089,P1349,20,2026-02-04
DL00593,ASN500046,P1209,40,2026-04-23
DL01152,ASN500075,P1398,59,2026-03-15
DL00398,ASN500091,P1139,168,2026-01-13
DL00354,ASN500059,P1123,122,2026-01-22
DL00948,ASN500052,P1329,6,2026-04-29
DL00975,ASN500085,P1337,131,2026-03-23
DL00553,ASN500081,P1195,6,2026-05-06
DL01000,ASN500089,P1346,67,2026-03-03
DL00340,ASN500134,P1118,56,2026-02-11
DL00816,ASN500060,P1289,66,2026-01-06
DL00028,ASN500019,P1006,72,2026-02-05
DL01129,ASN500022,P1391,85,2026-02-24
DL01045,ASN500068,P1364,22,2026-01-11
DL01105,ASN500098,P1381,153,2026-01-22
DL00609,ASN500114,P1214,137,2026-01-15
DL00063,ASN500026,P1018,18,2026-04-22
DL00649,ASN500010,P1230,78,2026-01-20
DL00033,ASN500050,P1007,24,2026-03-23
DL00188,ASN500089,P1063,60,2026-01-10
DL01039,ASN500037,P1362,167,2026-04-10
DL00322,ASN500011,P1110,21,2026-04-25
DL00218,ASN500099,P1074,27,2026-05-01
DL00161,ASN500040,P1055,68,2026-02-27
DL00436,ASN500042,P1152,143,2026-03-23
DL00924,ASN500079,P1322,38,2026-03-22
DL00627,ASN500058,P1221,63,2026-01-24
DL00054,ASN500106,P1015,93,2026-02-23
DL00083,ASN500049,P1023,67,2026-01-17
DL00273,ASN500011,P1093,10,2026-01-12
DL00800,ASN500022,P1284,111,2026-04-04
DL00561,ASN500003,P1197,124,2026-04-07
DL00176,ASN500064,P1061,67,2026-03-11
DL00456,ASN500076,P1158,37,2026-03-22
DL01071,ASN500121,P1371,94,2026-03-13
DL00397,ASN500047,P1138,105,2026-03-12
DL00555,ASN500076,P1195,155,2026-03-22
DL00526,ASN500092,P1183,152,2026-03-19
DL01073,ASN500036,P1371,21,2026-05-04
DL00169,ASN500060,P1058,142,2026-04-24
DL00524,ASN500048,P1182,59,2026-01-30
DL00472,ASN500110,P1163,149,2026-03-29
DL00183,ASN500012,P1062,53,2026-03-23
DL00454,ASN500126,P1158,35,2026-02-17
DL01156,ASN500012,P1399,111,2026-02-03
DL00119,ASN500107,P1036,97,2026-04-03
DL00175,ASN500048,P1060,88,2026-01-14
DL00011,ASN500099,P1003,88,2026-04-08
DL00276,ASN500136,P1094,62,2026-02-27
DL00212,ASN500094,P1071,134,2026-01-27
DL00007,ASN500010,P1001,105,2026-01-08
DL00854,ASN500102,P1301,27,2026-01-11
DL00596,ASN500020,P1209,27,2026-04-29
DL00141,ASN500121,P1046,55,2026-02-22
DL00503,ASN500003,P1175,43,2026-03-23
DL00489,ASN500065,P1171,18,2026-04-07
DL01060,ASN500008,P1368,17,2026-02-26
DL00386,ASN500005,P1135,164,2026-04-25
DL00429,ASN500054,P1150,140,2026-01-16
DL01022,ASN500112,P1354,51,2026-03-02
DL01200,ASN500127,P1412,74,2026-03-15
DL00243,ASN500006,P1083,21,2026-03-25
DL00598,ASN500035,P1210,161,2026-04-01
DL00336,ASN500111,P1115,137,2026-04-14
DL00335,ASN500007,P1115,110,2026-01-09
DL01157,ASN500113,P1400,180,2026-03-01
DL00500,ASN500085,P1174,79,2026-02-10
DL01140,ASN500087,P1394,56,2026-03-05
DL00084,ASN500044,P1023,92,2026-03-18
DL00049,ASN500071,P1014,33,2026-04-06
DL00915,ASN500137,P1320,73,2026-03-03
DL00704,ASN500039,P1251,53,2026-02-28
DL01085,ASN500074,P1376,119,2026-04-04
DL01149,ASN500012,P1396,40,2026-04-26
DL00434,ASN500014,P1151,128,2026-03-06
DL00154,ASN500064,P1053,115,2026-04-20
DL00933,ASN500036,P1324,74,2026-02-24
DL00739,ASN500063,P1263,62,2026-01-11
DL00838,ASN500020,P1296,40,2026-04-11
DL00362,ASN500129,P1125,54,2026-02-09
DL00262,ASN500094,P1090,152,2026-01-24
DL00453,ASN500088,P1158,57,2026-03-30
DL00301,ASN500026,P1101,71,2026-02-04
DL00185,ASN500131,P1063,50,2026-03-04
DL00758,ASN500006,P1268,92,2026-04-19
DL00867,ASN500039,P1305,107,2026-03-24
DL00139,ASN500053,P1045,102,2026-02-20
DL01099,ASN500126,P1379,27,2026-01-31
DL00806,ASN500052,P1286,114,2026-04-02
DL01211,ASN500067,P1417,12,2026-03-01
DL00082,ASN500115,P1023,114,2026-01-23
DL00216,ASN500077,P1073,37,2026-04-23
DL01198,ASN500024,P1412,32,2026-04-28
DL00467,ASN500046,P1160,14,2026-02-28
DL00992,ASN500002,P1341,147,2026-03-07
DL00659,ASN500051,P1233,145,2026-04-06
DL01065,ASN500139,P1369,102,2026-02-05
DL01210,ASN500022,P1417,48,2026-01-25
DL00077,ASN500077,P1021,128,2026-03-18
DL00823,ASN500103,P1291,57,2026-01-20
DL00560,ASN500036,P1197,178,2026-04-30
DL00197,ASN500039,P1066,168,2026-03-15
DL01106,ASN500049,P1381,153,2026-02-22
DL00506,ASN500096,P1175,159,2026-04-14
DL00152,ASN500006,P1052,64,2026-01-19
DL00303,ASN500013,P1102,73,2026-03-28
DL00829,ASN500092,P1294,79,2026-01-27
DL01108,ASN500018,P1382,25,2026-04-12
DL01072,ASN500122,P1371,151,2026-02-03
DL00377,ASN500103,P1132,6,2026-04-10
DL00768,ASN500136,P1272,68,2026-02-26
DL01184,ASN500012,P1407,49,2026-02-17
DL00802,ASN500056,P1284,76,2026-03-14
DL00090,ASN500071,P1026,152,2026-02-21
DL01190,ASN500100,P1410,123,2026-01-10
DL00361,ASN500118,P1124,169,2026-04-29
DL00533,ASN500005,P1188,29,2026-01-10
DL00978,ASN500081,P1338,149,2026-03-30
DL00660,ASN500093,P1233,122,2026-04-30
DL00440,ASN500107,P1154,178,2026-01-15
DL01091,ASN500094,P1377,138,2026-02-18
DL00126,ASN500124,P1039,111,2026-05-02
DL00564,ASN500095,P1199,40,2026-04-15
DL01069,ASN500139,P1370,175,2026-02-03
DL00520,ASN500090,P1181,21,2026-02-04
DL00582,ASN500093,P1206,115,2026-02-08
DL00025,ASN500137,P1006,28,2026-03-31
DL00785,ASN500102,P1278,95,2026-05-01
DL00639,ASN500093,P1225,32,2026-03-14
DL00407,ASN500049,P1142,125,2026-03-29
DL01014,ASN500040,P1352,127,2026-04-26
DL00298,ASN500137,P1100,6,2026-02-23
DL00559,ASN500097,P1196,48,2026-03-03
DL01216,ASN500018,P1419,158,2026-02-18
DL00080,ASN500128,P1022,132,2026-03-17
DL00710,ASN500075,P1253,92,2026-04-21
DL00878,ASN500061,P1308,149,2026-03-03
DL00088,ASN500134,P1025,58,2026-02-23
DL00811,ASN500139,P1287,71,2026-02-06
DL00694,ASN500012,P1248,70,2026-03-19
DL00752,ASN500103,P1267,171,2026-01-14
DL00003,ASN500021,P1000,126,2026-02-10
DL00612,ASN500015,P1215,79,2026-04-27
DL00523,ASN500122,P1181,134,2026-03-22
DL01173,ASN500134,P1405,23,2026-02-12
DL01068,ASN500082,P1370,23,2026-03-27
DL00763,ASN500055,P1271,108,2026-02-23
DL00167,ASN500114,P1058,49,2026-02-04
DL00542,ASN500094,P1189,122,2026-03-09
DL01170,ASN500102,P1404,34,2026-01-10
