demand_line_id,asn,part_number,delivery_date,quantity_needed,quantity_allocated,quantity_short,buckets_used,status
DL00574,ASN500006,P1203,2026-03-20,74,52,22,3,PARTIAL
DL00577,ASN500081,P1204,2026-05-01,121,23,98,1,PARTIAL
DL00587,ASN500004,P1207,2026-04-19,118,16,102,1,PARTIAL
DL00595,ASN500058,P1209,2026-01-31,49,37,12,1,PARTIAL
DL00609,ASN500114,P1214,2026-01-15,137,23,114,1,PARTIAL
DL00619,ASN500049,P1219,2026-01-08,71,49,22,1,PARTIAL
DL00626,ASN500103,P1221,2026-03-16,40,2,38,1,PARTIAL
DL00635,ASN500082,P1223,2026-04-24,107,105,2,1,PARTIAL
DL00639,ASN500093,P1225,2026-03-14,32,13,19,3,PARTIAL
DL00647,ASN500025,P1229,2026-01-21,69,36,33,2,PARTIAL
DL00650,ASN500078,P1230,2026-03-29,93,52,41,1,PARTIAL
DL00664,ASN500131,P1234,2026-02-24,144,11,133,1,PARTIAL
DL00674,ASN500039,P1239,2026-02-18,111,2,109,1,PARTIAL
DL00688,ASN500047,P1246,2026-02-13,142,106,36,1,PARTIAL
DL00702,ASN500134,P1250,2026-01-18,63,29,34,2,PARTIAL
DL00704,ASN500039,P1251,2026-02-28,53,16,37,1,PARTIAL
DL00707,ASN500043,P1252,2026-02-15,97,38,59,2,PARTIAL
DL00724,ASN500050,P1257,2026-03-24,110,83,27,1,PARTIAL
DL00734,ASN500025,P1260,2026-01-14,154,98,56,1,PARTIAL
DL00737,ASN500056,P1261,2026-03-21,106,32,74,1,PARTIAL
DL00740,ASN500040,P1263,2026-04-25,155,34,121,1,PARTIAL
DL00742,ASN500116,P1264,2026-02-28,82,58,24,3,PARTIAL
DL00744,ASN500062,P1265,2026-02-24,178,21,157,1,PARTIAL
DL00752,ASN500103,P1267,2026-01-14,171,138,33,2,PARTIAL
DL00761,ASN500113,P1270,2026-04-23,124,52,72,1,PARTIAL
DL00764,ASN500053,P1271,2026-03-07,81,59,22,1,PARTIAL
DL00767,ASN500112,P1272,2026-02-22,155,44,111,1,PARTIAL
DL00770,ASN500131,P1273,2026-03-16,28,20,8,3,PARTIAL
DL00777,ASN500016,P1276,2026-01-17,84,39,45,1,PARTIAL
DL00781,ASN500033,P1277,2026-01-28,75,72,3,2,PARTIAL
DL00784,ASN500118,P1278,2026-04-24,68,42,26,4,PARTIAL
DL00786,ASN500046,P1279,2026-01-20,79,53,26,2,PARTIAL
DL00792,ASN500045,P1281,2026-04-23,149,88,61,1,PARTIAL
DL00801,ASN500100,P1284,2026-04-22,162,39,123,1,PARTIAL
DL00812,ASN500043,P1288,2026-02-19,96,46,50,2,PARTIAL
DL00841,ASN500047,P1297,2026-03-14,168,130,38,1,PARTIAL
DL00845,ASN500091,P1298,2026-02-04,86,2,84,1,PARTIAL
DL00853,ASN500041,P1301,2026-03-03,40,31,9,1,PARTIAL
DL00857,ASN500130,P1302,2026-01-24,113,79,34,3,PARTIAL
DL00899,ASN500051,P1314,2026-01-20,149,109,40,2,PARTIAL
DL00911,ASN500124,P1318,2026-01-15,33,22,11,2,PARTIAL
DL00917,ASN500038,P1320,2026-03-11,129,17,112,1,PARTIAL
DL00936,ASN500135,P1324,2026-01-23,154,50,104,1,PARTIAL
DL00937,ASN500024,P1325,2026-04-15,56,34,22,2,PARTIAL
DL00947,ASN500060,P1328,2026-01-25,94,35,59,1,PARTIAL
DL00961,ASN500005,P1333,2026-01-12,60,36,24,1,PARTIAL
DL00978,ASN500081,P1338,2026-03-30,149,33,116,1,PARTIAL
DL00993,ASN500092,P1342,2026-03-27,43,13,30,1,PARTIAL
DL00995,ASN500007,P1343,2026-01-23,164,93,71,2,PARTIAL
DL00999,ASN500041,P1346,2026-01-09,140,76,64,3,PARTIAL
DL01010,ASN500067,P1350,2026-02-05,116,89,27,2,PARTIAL
DL01012,ASN500108,P1351,2026-02-10,169,32,137,1,PARTIAL
DL01031,ASN500060,P1358,2026-04-17,56,32,24,4,PARTIAL
DL01040,ASN500139,P1362,2026-01-20,133,32,101,1,PARTIAL
DL01067,ASN500134,P1370,2026-03-25,73,68,5,1,PARTIAL
DL01075,ASN500135,P1372,2026-04-20,48,43,5,2,PARTIAL
DL01095,ASN500045,P1378,2026-04-07,83,74,9,2,PARTIAL
DL01100,ASN500032,P1379,2026-04-17,113,44,69,1,PARTIAL
DL01114,ASN500016,P1384,2026-02-25,117,43,74,1,PARTIAL
DL01124,ASN500106,P1389,2026-01-23,154,49,105,3,PARTIAL
DL01125,ASN500012,P1390,2026-01-24,165,138,27,2,PARTIAL
DL01140,ASN500087,P1394,2026-03-05,56,17,39,1,PARTIAL
DL01145,ASN500053,P1395,2026-03-25,156,51,105,1,PARTIAL
DL01161,ASN500081,P1401,2026-04-08,148,129,19,2,PARTIAL
DL01183,ASN500038,P1407,2026-02-13,173,82,91,4,PARTIAL
DL01210,ASN500022,P1417,2026-01-25,48,30,18,3,PARTIAL
