part_number,batch,plant,quantity_on_hand
P1389,B00650,PLT-02,5
P1340,B00569,PLT-02,991
P1141,B00253,PLT-01,248
P1268,B00459,PLT-02,273
P1057,B00115,PLT-02,8
P1068,B00127,PLT-02,46
P1021,B00042,PLT-02,482
P1330,B00558,PLT-03,249
P1291,B00497,PLT-01,171
P1360,B00598,PLT-03,352
P1010,B00020,PLT-02,3
P1371,B00620,PLT-03,333
P1257,B00432,PLT-02,53
P1084,B00162,PLT-03,128
P1026,B00051,PLT-01,198
P1108,B00205,PLT-02,23
P1095,B00180,PLT-01,221
P1346,B00576,PLT-02,1
P1030,B00062,PLT-03,14
P1350,B00583,PLT-01,48
P1396,B00664,PLT-02,88
P1216,B00373,PLT-01,9
P1111,B00207,PLT-02,77
P1268,B00457,PLT-02,4
P1252,B00423,PLT-01,26
P1167,B00298,PLT-01,3
P1309,B00524,PLT-03,328
P1368,B00617,PLT-01,208
P1012,B00025,PLT-01,14
P1261,B00441,PLT-03,101
P1267,B00456,PLT-01,52
P1139,B00249,PLT-01,39
P1324,B00551,PLT-01,234
P1308,B00523,PLT-01,433
P1390,B00654,PLT-03,101
P1316,B00531,PLT-03,25
P1384,B00643,PLT-02,209
P1039,B00081,PLT-01,87
P1380,B00639,PLT-03,41
P1275,B00471,PLT-01,21
P1082,B00158,PLT-01,95
P1316,B00531,PLT-02,81
P1363,B00606,PLT-02,13
P1157,B00274,PLT-02,52
P1357,B00593,PLT-01,460
P1302,B00514,PLT-03,3
P1321,B00544,PLT-02,60
P1127,B00230,PLT-02,8
P1008,B00015,PLT-03,28
P1016,B00036,PLT-03,71
P1129,B00233,PLT-03,160
P1053,B00110,PLT-01,223
P1303,B00518,PLT-03,22
P1038,B00080,PLT-01,170
P1296,B00506,PLT-01,102
P1395,B00661,PLT-03,4
P1211,B00363,PLT-03,24
P1209,B00361,PLT-01,70
P1414,B00698,PLT-01,235
P1255,B00427,PLT-03,697
P1347,B00578,PLT-02,45
P1158,B00279,PLT-03,57
P1265,B00449,PLT-03,26
P1185,B00327,PLT-01,196
P1167,B00297,PLT-02,24
P1363,B00606,PLT-03,46
P1237,B00403,PLT-02,145
P1090,B00174,PLT-03,160
P1394,B00660,PLT-01,40
P1081,B00157,PLT-02,297
P1388,B00649,PLT-02,117
P1323,B00548,PLT-01,279
P1312,B00525,PLT-03,362
P1009,B00018,PLT-03,8
P1125,B00226,PLT-02,247
P1411,B00691,PLT-03,22
P1220,B00376,PLT-01,43
P1051,B00105,PLT-01,3
P1367,B00615,PLT-03,498
P1288,B00493,PLT-02,7
P1318,B00538,PLT-02,20
P1009,B00018,PLT-01,36
P1401,B00674,PLT-01,137
P1069,B00130,PLT-02,8
P1369,B00618,PLT-03,667
P1161,B00281,PLT-02,3
P1053,B00109,PLT-01,7
P1023,B00044,PLT-03,203
P1362,B00603,PLT-02,87
P1389,B00652,PLT-02,40
P1004,B00010,PLT-01,113
P1403,B00678,PLT-02,123
P1251,B00422,PLT-02,76
P1371,B00620,PLT-02,184
P1028,B00057,PLT-02,63
P1002,B00005,PLT-02,82
P1140,B00252,PLT-01,102
P1258,B00436,PLT-01,14
P1298,B00509,PLT-02,59
P1204,B00354,PLT-03,62
P1302,B00516,PLT-01,52
P1230,B00395,PLT-01,103
P1025,B00049,PLT-03,9
P1266,B00452,PLT-01,35
P1090,B00173,PLT-03,2
P1036,B00075,PLT-01,37
P1101,B00188,PLT-01,195
P1294,B00503,PLT-01,22
P1268,B00458,PLT-01,35
P1174,B00310,PLT-03,74
P1055,B00113,PLT-02,317
P1258,B00435,PLT-01,9
P1394,B00658,PLT-01,18
P1049,B00104,PLT-01,42
P1154,B00269,PLT-03,308
P1005,B00011,PLT-02,179
P1373,B00622,PLT-01,96
P1258,B00434,PLT-03,4
P1376,B00629,PLT-02,435
P1085,B00163,PLT-01,92
P1041,B00086,PLT-01,2
P1267,B00455,PLT-02,15
P1000,B00001,PLT-01,19
P1019,B00039,PLT-03,134
P1302,B00515,PLT-02,37
P1042,B00087,PLT-03,9
P1064,B00124,PLT-01,55
P1408,B00684,PLT-01,165
P1011,B00024,PLT-03,282
P1139,B00248,PLT-01,33
P1033,B00069,PLT-01,27
P1027,B00054,PLT-03,42
P1331,B00560,PLT-02,151
P1208,B00360,PLT-02,225
P1411,B00690,PLT-03,17
P1356,B00590,PLT-03,23
P1021,B00041,PLT-01,42
P1081,B00155,PLT-03,52
P1394,B00660,PLT-02,48
P1350,B00582,PLT-01,41
P1263,B00444,PLT-02,3
P1251,B00422,PLT-01,53
P1021,B00041,PLT-03,206
P1078,B00149,PLT-02,1
P1373,B00623,PLT-01,240
P1174,B00309,PLT-01,66
P1411,B00692,PLT-01,65
P1412,B00694,PLT-02,33
P1303,B00517,PLT-01,51
P1107,B00202,PLT-03,75
P1036,B00074,PLT-01,15
P1068,B00128,PLT-01,87
P1100,B00185,PLT-03,33
P1302,B00516,PLT-03,19
P1386,B00647,PLT-02,25
P1138,B00247,PLT-02,765
P1137,B00245,PLT-03,516
P1100,B00185,PLT-02,144
P1096,B00181,PLT-03,210
P1100,B00187,PLT-01,234
P1412,B00693,PLT-03,81
P1126,B00229,PLT-03,95
P1134,B00241,PLT-01,208
P1131,B00238,PLT-01,261
P1081,B00156,PLT-01,4
P1124,B00224,PLT-02,148
P1062,B00119,PLT-03,93
P1086,B00166,PLT-03,23
P1165,B00293,PLT-03,91
P1379,B00636,PLT-03,6
P1297,B00508,PLT-03,210
P1257,B00433,PLT-03,146
P1251,B00421,PLT-03,16
P1084,B00160,PLT-01,142
P1003,B00009,PLT-02,211
P1072,B00136,PLT-02,7
P1315,B00530,PLT-01,226
P1044,B00095,PLT-02,14
P1264,B00448,PLT-02,49
P1364,B00607,PLT-01,117
P1039,B00082,PLT-03,35
P1291,B00495,PLT-02,74
P1119,B00215,PLT-01,4
P1168,B00300,PLT-03,34
P1072,B00138,PLT-03,18
P1317,B00535,PLT-02,52
P1399,B00670,PLT-02,101
P1295,B00505,PLT-02,815
P1013,B00028,PLT-01,7
P1214,B00368,PLT-02,86
P1256,B00428,PLT-02,13
P1267,B00456,PLT-02,136
P1225,B00385,PLT-03,5
P1370,B00619,PLT-03,89
P1400,B00672,PLT-01,292
P1244,B00411,PLT-01,563
P1063,B00122,PLT-01,130
P1127,B00231,PLT-01,10
P1189,B00330,PLT-03,70
P1170,B00306,PLT-03,24
P1193,B00337,PLT-01,89
P1094,B00176,PLT-01,45
P1014,B00029,PLT-01,177
P1358,B00594,PLT-03,3
P1095,B00178,PLT-02,132
P1326,B00556,PLT-01,405
P1229,B00393,PLT-02,17
P1354,B00588,PLT-03,29
P1216,B00373,PLT-03,77
P1083,B00159,PLT-03,23
P1126,B00228,PLT-03,43
P1279,B00482,PLT-02,8
P1013,B00028,PLT-02,170
P1358,B00595,PLT-01,7
P1225,B00387,PLT-01,4
P1278,B00481,PLT-02,9
P1104,B00195,PLT-02,16
P1332,B00562,PLT-02,652
P1005,B00011,PLT-01,418
P1126,B00227,PLT-03,100
P1225,B00386,PLT-03,4
P1175,B00312,PLT-01,228
P1170,B00305,PLT-02,14
P1363,B00605,PLT-01,3
P1071,B00135,PLT-01,197
P1002,B00004,PLT-01,19
P1230,B00396,PLT-02,43
P1121,B00219,PLT-02,86
P1346,B00577,PLT-02,38
P1103,B00193,PLT-02,42
P1234,B00399,PLT-01,84
P1162,B00283,PLT-02,94
P1212,B00366,PLT-02,40
P1001,B00003,PLT-02,397
P1403,B00677,PLT-03,25
P1259,B00438,PLT-01,119
P1303,B00519,PLT-01,49
P1328,B00557,PLT-01,230
P1132,B00239,PLT-01,215
P1269,B00461,PLT-02,43
P1326,B00556,PLT-03,103
P1316,B00533,PLT-01,122
P1189,B00328,PLT-01,51
P1403,B00676,PLT-02,39
P1025,B00048,PLT-02,17
P1090,B00172,PLT-01,148
P1331,B00559,PLT-01,13
P1366,B00614,PLT-03,128
P1103,B00193,PLT-03,115
P1354,B00587,PLT-03,111
P1281,B00487,PLT-01,16
P1365,B00610,PLT-02,170
P1261,B00441,PLT-01,61
P1404,B00680,PLT-01,270
P1413,B00696,PLT-03,411
P1293,B00500,PLT-02,59
P1053,B00110,PLT-03,6
P1287,B00492,PLT-02,464
P1378,B00634,PLT-02,63
P1127,B00230,PLT-01,38
P1166,B00295,PLT-01,3
P1168,B00301,PLT-03,41
P1351,B00585,PLT-01,66
P1396,B00665,PLT-02,383
P1028,B00057,PLT-01,84
P1372,B00621,PLT-01,21
P1417,B00699,PLT-01,1
P1080,B00153,PLT-03,13
P1223,B00382,PLT-02,344
P1174,B00310,PLT-02,8
P1167,B00299,PLT-03,122
P1183,B00326,PLT-03,75
P1396,B00663,PLT-02,11
P1002,B00004,PLT-02,8
P1042,B00089,PLT-02,62
P1257,B00432,PLT-01,54
P1392,B00657,PLT-01,176
P1000,B00001,PLT-03,62
P1226,B00388,PLT-02,119
P1296,B00507,PLT-01,438
P1139,B00249,PLT-03,173
P1145,B00256,PLT-02,9
P1092,B00175,PLT-03,173
P1294,B00502,PLT-01,9
P1026,B00053,PLT-03,15
P1155,B00271,PLT-02,22
P1362,B00601,PLT-01,64
P1321,B00545,PLT-03,39
P1374,B00625,PLT-03,99
P1015,B00033,PLT-03,45
P1266,B00453,PLT-03,166
P1123,B00222,PLT-03,65
P1321,B00543,PLT-03,13
P1235,B00400,PLT-03,179
P1117,B00214,PLT-02,25
P1208,B00360,PLT-03,333
P1054,B00111,PLT-01,515
P1113,B00210,PLT-02,29
P1182,B00322,PLT-01,33
P1292,B00499,PLT-01,126
P1008,B00015,PLT-01,6
P1366,B00613,PLT-02,41
P1339,B00568,PLT-01,502
P1241,B00407,PLT-03,56
P1211,B00365,PLT-02,47
P1395,B00661,PLT-02,29
P1140,B00250,PLT-03,9
P1063,B00122,PLT-02,1
P1201,B00348,PLT-01,11
P1178,B00318,PLT-01,408
P1012,B00026,PLT-02,295
P1205,B00355,PLT-02,117
P1319,B00539,PLT-01,67
P1403,B00677,PLT-02,196
P1095,B00179,PLT-02,1
P1404,B00679,PLT-02,6
P1277,B00478,PLT-01,96
P1417,B00700,PLT-02,9
P1122,B00221,PLT-03,512
P1226,B00390,PLT-03,96
P1075,B00144,PLT-03,216
P1199,B00345,PLT-01,66
P1397,B00666,PLT-03,17
P1084,B00161,PLT-01,23
P1293,B00501,PLT-01,110
P1157,B00275,PLT-02,170
P1272,B00466,PLT-03,44
P1302,B00515,PLT-01,26
P1227,B00392,PLT-02,7
P1229,B00394,PLT-01,19
P1255,B00427,PLT-02,38
P1324,B00550,PLT-03,4
P1235,B00400,PLT-01,130
P1273,B00469,PLT-02,14
P1161,B00282,PLT-03,8
P1068,B00128,PLT-02,56
P1240,B00406,PLT-03,248
P1071,B00135,PLT-02,87
P1008,B00016,PLT-02,119
P1182,B00323,PLT-02,2
P1284,B00491,PLT-03,136
P1096,B00183,PLT-02,128
P1407,B00682,PLT-02,5
P1189,B00330,PLT-02,113
P1214,B00369,PLT-03,142
P1029,B00059,PLT-01,2
P1149,B00260,PLT-01,32
P1320,B00542,PLT-02,94
P1308,B00523,PLT-03,57
P1292,B00499,PLT-03,20
P1024,B00047,PLT-02,86
P1326,B00555,PLT-03,76
P1294,B00504,PLT-01,213
P1169,B00302,PLT-03,38
P1166,B00296,PLT-02,16
P1028,B00056,PLT-02,110
P1010,B00021,PLT-02,30
P1065,B00126,PLT-01,386
P1344,B00574,PLT-03,58
P1366,B00614,PLT-01,57
P1221,B00379,PLT-02,10
P1230,B00397,PLT-01,97
P1392,B00656,PLT-01,100
P1273,B00467,PLT-01,4
P1260,B00439,PLT-02,17
P1161,B00280,PLT-01,2
P1356,B00590,PLT-01,5
P1018,B00037,PLT-01,218
P1412,B00693,PLT-02,4
P1326,B00554,PLT-02,8
P1401,B00673,PLT-01,11
P1321,B00545,PLT-02,450
P1411,B00692,PLT-02,220
P1062,B00121,PLT-02,108
P1037,B00077,PLT-02,22
P1108,B00203,PLT-03,5
P1273,B00468,PLT-02,2
P1036,B00075,PLT-02,87
P1211,B00365,PLT-01,69
P1375,B00628,PLT-03,496
P1033,B00068,PLT-01,1
P1165,B00292,PLT-02,53
P1381,B00641,PLT-01,731
P1373,B00623,PLT-03,119
P1269,B00462,PLT-01,49
P1300,B00510,PLT-03,26
P1170,B00307,PLT-01,24
P1134,B00242,PLT-01,435
P1046,B00099,PLT-02,28
P1076,B00146,PLT-02,38
P1180,B00320,PLT-02,320
P1206,B00357,PLT-01,193
P1385,B00644,PLT-03,14
P1357,B00592,PLT-02,196
P1051,B00106,PLT-02,172
P1383,B00642,PLT-02,186
P1144,B00255,PLT-02,430
P1265,B00449,PLT-02,22
P1316,B00532,PLT-03,31
P1342,B00570,PLT-02,13
P1065,B00125,PLT-01,210
P1241,B00408,PLT-01,163
P1288,B00494,PLT-03,39
P1130,B00235,PLT-02,18
P1134,B00242,PLT-02,234
P1399,B00669,PLT-03,9
P1078,B00149,PLT-01,29
P1347,B00580,PLT-02,355
P1009,B00019,PLT-02,135
P1398,B00667,PLT-01,461
P1144,B00254,PLT-02,62
P1008,B00014,PLT-01,119
P1279,B00483,PLT-03,45
P1166,B00294,PLT-03,17
P1014,B00030,PLT-02,39
P1314,B00528,PLT-01,10
P1217,B00374,PLT-03,150
P1191,B00333,PLT-01,87
P1052,B00108,PLT-03,84
P1221,B00381,PLT-03,17
P1263,B00443,PLT-01,15
P1246,B00415,PLT-03,106
P1164,B00290,PLT-03,72
P1276,B00475,PLT-03,60
P1011,B00023,PLT-01,206
P1074,B00140,PLT-03,8
P1272,B00466,PLT-01,65
P1325,B00553,PLT-01,24
P1076,B00145,PLT-03,2
P1130,B00236,PLT-02,18
P1245,B00412,PLT-01,35
P1418,B00703,PLT-02,116
P1278,B00481,PLT-03,17
P1105,B00196,PLT-01,133
P1380,B00638,PLT-02,100
P1155,B00270,PLT-01,11
P1203,B00350,PLT-01,18
P1079,B00151,PLT-02,67
P1158,B00277,PLT-01,15
P1169,B00304,PLT-02,104
P1032,B00066,PLT-03,23
P1014,B00031,PLT-02,116
P1354,B00588,PLT-01,160
P1033,B00067,PLT-01,14
P1119,B00217,PLT-01,39
P1120,B00218,PLT-01,76
P1124,B00225,PLT-02,333
P1358,B00596,PLT-02,5
P1083,B00159,PLT-01,9
P1038,B00080,PLT-02,89
P1368,B00616,PLT-02,114
P1263,B00444,PLT-01,19
P1161,B00282,PLT-02,22
P1176,B00316,PLT-03,93
P1390,B00653,PLT-03,37
P1108,B00204,PLT-02,6
P1306,B00521,PLT-02,486
P1015,B00034,PLT-01,45
P1211,B00364,PLT-03,11
P1155,B00271,PLT-01,6
P1259,B00438,PLT-03,500
P1227,B00392,PLT-03,24
P1102,B00191,PLT-01,233
P1081,B00155,PLT-02,86
P1198,B00344,PLT-03,39
P1317,B00534,PLT-03,217
P1030,B00061,PLT-02,8
P1253,B00425,PLT-01,218
P1109,B00206,PLT-01,39
P1280,B00485,PLT-03,112
P1069,B00131,PLT-02,83
P1009,B00017,PLT-01,43
P1015,B00032,PLT-02,88
P1333,B00563,PLT-02,101
P1366,B00612,PLT-02,130
P1267,B00454,PLT-03,72
P1019,B00040,PLT-03,127
P1157,B00275,PLT-03,26
P1123,B00223,PLT-02,135
P1128,B00232,PLT-03,143
P1105,B00197,PLT-03,72
P1278,B00480,PLT-02,11
P1149,B00261,PLT-01,84
P1236,B00401,PLT-03,19
P1262,B00442,PLT-03,24
P1130,B00236,PLT-01,37
P1041,B00086,PLT-03,52
P1401,B00674,PLT-02,31
P1035,B00072,PLT-02,35
P1111,B00207,PLT-01,23
P1347,B00578,PLT-01,37
P1392,B00656,PLT-02,14
P1200,B00347,PLT-03,35
P1000,B00002,PLT-01,295
P1113,B00210,PLT-01,74
P1259,B00437,PLT-01,5
P1151,B00267,PLT-03,51
P1075,B00143,PLT-02,91
P1409,B00687,PLT-03,10
P1300,B00512,PLT-03,144
P1278,B00479,PLT-01,16
P1253,B00424,PLT-03,29
P1245,B00414,PLT-01,61
P1214,B00367,PLT-02,57
P1162,B00285,PLT-03,24
P1048,B00101,PLT-02,1
P1051,B00107,PLT-03,211
P1119,B00216,PLT-02,25
P1169,B00303,PLT-01,19
P1399,B00668,PLT-03,16
P1151,B00265,PLT-01,49
P1252,B00423,PLT-02,12
P1075,B00142,PLT-03,245
P1325,B00552,PLT-03,10
P1194,B00339,PLT-01,43
P1016,B00036,PLT-01,61
P1163,B00288,PLT-02,22
P1063,B00123,PLT-03,227
P1176,B00315,PLT-03,6
P1221,B00380,PLT-02,11
P1181,B00321,PLT-02,752
P1136,B00243,PLT-03,6
P1365,B00611,PLT-01,299
P1074,B00139,PLT-03,3
P1150,B00264,PLT-01,260
P1089,B00169,PLT-01,24
P1418,B00702,PLT-03,27
P1356,B00589,PLT-01,20
P1080,B00154,PLT-02,161
P1336,B00566,PLT-02,460
P1070,B00132,PLT-02,125
P1281,B00488,PLT-03,143
P1088,B00168,PLT-02,416
P1204,B00352,PLT-03,11
P1112,B00208,PLT-01,30
P1130,B00234,PLT-01,1
P1064,B00124,PLT-03,22
P1207,B00358,PLT-01,47
P1121,B00220,PLT-02,485
P1275,B00470,PLT-01,31
P1356,B00591,PLT-01,45
P1114,B00211,PLT-02,3
P1248,B00416,PLT-02,112
P1061,B00118,PLT-01,385
P1292,B00498,PLT-01,143
P1256,B00430,PLT-02,6
P1136,B00244,PLT-01,15
P1072,B00137,PLT-03,6
P1085,B00164,PLT-01,21
P1265,B00450,PLT-01,46
P1146,B00257,PLT-03,337
P1045,B00098,PLT-03,37
P1207,B00359,PLT-01,118
P1012,B00025,PLT-02,22
P1334,B00564,PLT-01,301
P1236,B00402,PLT-02,38
P1301,B00513,PLT-01,31
P1401,B00673,PLT-03,14
P1294,B00502,PLT-03,37
P1183,B00326,PLT-01,25
P1106,B00199,PLT-02,42
P1042,B00088,PLT-02,56
P1008,B00014,PLT-02,4
P1281,B00487,PLT-03,17
P1149,B00261,PLT-02,51
P1025,B00050,PLT-02,163
P1150,B00263,PLT-01,255
P1410,B00689,PLT-03,353
P1077,B00148,PLT-01,242
P1284,B00491,PLT-02,14
P1335,B00565,PLT-02,5
P1367,B00615,PLT-01,306
P1148,B00259,PLT-02,381
P1377,B00631,PLT-02,291
P1089,B00171,PLT-01,28
P1156,B00272,PLT-01,45
P1204,B00352,PLT-02,62
P1096,B00183,PLT-01,97
P1275,B00472,PLT-03,84
P1044,B00095,PLT-03,39
P1418,B00702,PLT-01,63
P1105,B00198,PLT-02,316
P1183,B00325,PLT-01,40
P1375,B00626,PLT-03,24
P1003,B00007,PLT-03,117
P1379,B00637,PLT-01,68
P1331,B00559,PLT-02,71
P1038,B00079,PLT-01,13
P1049,B00103,PLT-02,5
P1291,B00496,PLT-01,52
P1220,B00378,PLT-01,155
P1272,B00465,PLT-01,6
P1317,B00534,PLT-01,4
P1206,B00356,PLT-01,29
P1026,B00053,PLT-01,172
P1409,B00688,PLT-01,23
P1194,B00338,PLT-01,15
P1024,B00045,PLT-02,4
P1056,B00114,PLT-02,83
P1412,B00695,PLT-01,83
P1345,B00575,PLT-01,155
P1338,B00567,PLT-01,167
P1277,B00476,PLT-02,72
P1158,B00277,PLT-02,16
P1043,B00090,PLT-03,31
P1163,B00288,PLT-01,278
P1078,B00150,PLT-02,348
P1100,B00186,PLT-02,70
P1043,B00092,PLT-03,57
P1173,B00308,PLT-02,138
P1205,B00355,PLT-01,409
P1219,B00375,PLT-01,174
P1402,B00675,PLT-03,240
P1107,B00202,PLT-02,298
P1364,B00609,PLT-02,170
P1102,B00190,PLT-03,10
P1318,B00537,PLT-03,2
P1100,B00186,PLT-03,14
P1023,B00043,PLT-03,198
P1366,B00613,PLT-03,29
P1320,B00541,PLT-02,7
P1216,B00372,PLT-03,38
P1126,B00228,PLT-01,4
P1343,B00571,PLT-02,12
P1019,B00038,PLT-03,184
P1062,B00120,PLT-03,8
P1006,B00012,PLT-01,46
P1266,B00453,PLT-02,13
P1414,B00697,PLT-02,34
P1013,B00027,PLT-01,8
P1164,B00289,PLT-03,41
P1044,B00094,PLT-03,34
P1277,B00476,PLT-01,56
P1074,B00141,PLT-01,9
P1207,B00359,PLT-02,22
P1232,B00398,PLT-03,96
P1175,B00314,PLT-02,203
P1042,B00089,PLT-03,4
P1347,B00579,PLT-01,10
P1147,B00258,PLT-01,74
P1007,B00013,PLT-02,248
P1392,B00655,PLT-02,7
P1034,B00071,PLT-02,272
P1281,B00489,PLT-01,160
P1131,B00237,PLT-03,232
P1165,B00293,PLT-01,112
P1112,B00208,PLT-03,9
P1197,B00341,PLT-01,281
P1058,B00116,PLT-01,302
P1174,B00311,PLT-02,121
P1248,B00418,PLT-03,89
P1163,B00286,PLT-03,80
P1250,B00419,PLT-01,13
P1265,B00451,PLT-02,58
P1102,B00190,PLT-01,100
P1200,B00346,PLT-03,14
P1026,B00052,PLT-03,13
P1378,B00632,PLT-01,15
P1296,B00506,PLT-02,53
P1197,B00340,PLT-01,141
P1150,B00262,PLT-01,3
P1048,B00102,PLT-03,2
P1019,B00040,PLT-01,20
P1268,B00458,PLT-03,58
P1193,B00335,PLT-03,39
P1364,B00608,PLT-03,40
P1270,B00463,PLT-03,52
P1230,B00396,PLT-01,3
P1002,B00006,PLT-01,136
P1276,B00473,PLT-01,4
P1117,B00213,PLT-01,4
P1313,B00526,PLT-01,229
P1407,B00681,PLT-03,8
P1386,B00648,PLT-01,340
P1324,B00549,PLT-03,169
P1059,B00117,PLT-01,118
P1266,B00452,PLT-02,15
P1271,B00464,PLT-02,167
P1248,B00417,PLT-03,56
P1374,B00624,PLT-01,45
P1250,B00420,PLT-03,16
P1412,B00695,PLT-03,27
P1392,B00657,PLT-02,287
P1360,B00597,PLT-03,74
P1361,B00599,PLT-02,33
P1348,B00581,PLT-01,184
P1044,B00093,PLT-02,58
P1040,B00085,PLT-02,195
P1204,B00353,PLT-01,18
P1086,B00166,PLT-01,34
P1354,B00587,PLT-02,3
P1044,B00093,PLT-01,18
P1151,B00266,PLT-02,131
P1386,B00647,PLT-03,179
P1085,B00165,PLT-02,364
P1397,B00666,PLT-01,47
P1156,B00273,PLT-03,41
P1014,B00031,PLT-01,8
P1070,B00134,PLT-01,139
P1220,B00376,PLT-02,44
P1372,B00621,PLT-02,22
P1215,B00370,PLT-01,269
P1277,B00478,PLT-03,71
P1323,B00547,PLT-01,33
P1264,B00446,PLT-01,11
P1055,B00113,PLT-03,266
P1085,B00164,PLT-03,44
P1298,B00509,PLT-03,113
P1352,B00586,PLT-02,145
P1362,B00602,PLT-01,48
P1133,B00240,PLT-02,8
P1183,B00325,PLT-03,3
P1364,B00608,PLT-01,71
P1088,B00167,PLT-02,84
P1352,B00586,PLT-01,181
P1331,B00561,PLT-01,160
P1313,B00527,PLT-01,406
P1226,B00389,PLT-01,49
P1224,B00383,PLT-01,142
P1408,B00686,PLT-02,99
P1012,B00026,PLT-03,133
P1076,B00147,PLT-03,235
P1191,B00332,PLT-03,16
P1016,B00035,PLT-02,12
P1045,B00097,PLT-03,37
P1096,B00182,PLT-03,86
P1140,B00250,PLT-02,64
P1099,B00184,PLT-03,494
P1150,B00262,PLT-03,21
