demand_line_id,asn,part_number,delivery_date,quantity_needed,batch,plant,quantity_allocated
DL00083,ASN500049,P1023,2026-01-17,67,B00043,PLT-03,67
DL00084,ASN500044,P1023,2026-03-18,92,B00043,PLT-03,17
DL00084,ASN500044,P1023,2026-03-18,92,B00044,PLT-03,75
DL00085,ASN500081,P1024,2026-02-22,66,B00045,PLT-02,4
DL00085,ASN500081,P1024,2026-02-22,66,B00046,PLT-01,7
DL00085,ASN500081,P1024,2026-02-22,66,B00047,PLT-02,55
DL00086,ASN500051,P1025,2026-04-11,10,B00048,PLT-02,10
DL00087,ASN500105,P1025,2026-02-27,103,B00048,PLT-02,7
DL00087,ASN500105,P1025,2026-02-27,103,B00049,PLT-03,9
DL00087,ASN500105,P1025,2026-02-27,103,B00050,PLT-02,87
DL00088,ASN500134,P1025,2026-02-23,58,B00050,PLT-02,58
DL00089,ASN500086,P1026,2026-03-10,20,B00051,PLT-01,20
DL00090,ASN500071,P1026,2026-02-21,152,B00051,PLT-01,152
DL00091,ASN500032,P1026,2026-03-11,180,B00051,PLT-01,26
DL00091,ASN500032,P1026,2026-03-11,180,B00052,PLT-01,75
DL00091,ASN500032,P1026,2026-03-11,180,B00052,PLT-03,13
DL00091,ASN500032,P1026,2026-03-11,180,B00053,PLT-01,66
DL00092,ASN500055,P1027,2026-02-09,28,B00054,PLT-03,28
DL00093,ASN500063,P1027,2026-02-26,103,B00054,PLT-03,14
DL00093,ASN500063,P1027,2026-02-26,103,B00055,PLT-01,89
DL00094,ASN500114,P1027,2026-02-14,115,B00055,PLT-01,115
DL00095,ASN500005,P1027,2026-01-10,37,B00055,PLT-01,28
DL00097,ASN500000,P1028,2026-02-25,23,B00056,PLT-02,23
DL00098,ASN500135,P1028,2026-03-04,124,B00056,PLT-02,87
DL00098,ASN500135,P1028,2026-03-04,124,B00057,PLT-01,37
DL00099,ASN500063,P1028,2026-02-03,32,B00057,PLT-01,32
DL00100,ASN500039,P1028,2026-03-13,43,B00057,PLT-01,15
DL00100,ASN500039,P1028,2026-03-13,43,B00057,PLT-02,28
DL00101,ASN500117,P1029,2026-03-17,26,B00058,PLT-02,3
DL00101,ASN500117,P1029,2026-03-17,26,B00059,PLT-01,2
DL00101,ASN500117,P1029,2026-03-17,26,B00060,PLT-01,2
DL00102,ASN500000,P1030,2026-02-04,37,B00061,PLT-02,8
DL00102,ASN500000,P1030,2026-02-04,37,B00062,PLT-03,14
DL00103,ASN500009,P1031,2026-04-07,170,B00063,PLT-02,170
DL00104,ASN500077,P1031,2026-03-27,37,B00063,PLT-02,37
DL00105,ASN500064,P1031,2026-03-28,140,B00063,PLT-02,140
DL00106,ASN500111,P1031,2026-01-18,33,B00063,PLT-02,33
DL00107,ASN500018,P1031,2026-03-14,81,B00063,PLT-02,81
DL00108,ASN500049,P1032,2026-02-08,104,B00064,PLT-01,11
DL00108,ASN500049,P1032,2026-02-08,104,B00064,PLT-02,33
DL00108,ASN500049,P1032,2026-02-08,104,B00065,PLT-03,32
DL00108,ASN500049,P1032,2026-02-08,104,B00066,PLT-02,28
DL00109,ASN500057,P1032,2026-01-06,158,B00066,PLT-02,63
DL00109,ASN500057,P1032,2026-01-06,158,B00066,PLT-03,23
DL00113,ASN500063,P1033,2026-02-27,12,B00067,PLT-01,12
DL00114,ASN500078,P1033,2026-01-08,19,B00067,PLT-01,2
DL00114,ASN500078,P1033,2026-01-08,19,B00068,PLT-01,1
DL00114,ASN500078,P1033,2026-01-08,19,B00069,PLT-01,16
DL00115,ASN500127,P1034,2026-03-29,177,B00070,PLT-01,11
DL00115,ASN500127,P1034,2026-03-29,177,B00071,PLT-02,166
DL00116,ASN500107,P1034,2026-02-07,25,B00071,PLT-02,25
DL00117,ASN500108,P1035,2026-02-04,99,B00072,PLT-02,35
DL00117,ASN500108,P1035,2026-02-04,99,B00073,PLT-02,64
DL00118,ASN500126,P1035,2026-04-05,13,B00073,PLT-02,13
DL00119,ASN500107,P1036,2026-04-03,97,B00074,PLT-01,15
DL00119,ASN500107,P1036,2026-04-03,97,B00075,PLT-01,37
DL00119,ASN500107,P1036,2026-04-03,97,B00075,PLT-02,45
DL00120,ASN500101,P1036,2026-01-06,55,B00075,PLT-02,42
DL00122,ASN500126,P1037,2026-02-14,56,B00076,PLT-01,7
DL00122,ASN500126,P1037,2026-02-14,56,B00077,PLT-02,22
DL00122,ASN500126,P1037,2026-02-14,56,B00078,PLT-02,27
DL00123,ASN500049,P1037,2026-03-06,64,B00078,PLT-02,64
DL00124,ASN500067,P1038,2026-01-19,80,B00079,PLT-01,13
DL00124,ASN500067,P1038,2026-01-19,80,B00079,PLT-03,22
DL00124,ASN500067,P1038,2026-01-19,80,B00080,PLT-01,45
DL00125,ASN500126,P1038,2026-01-29,161,B00080,PLT-01,125
DL00125,ASN500126,P1038,2026-01-29,161,B00080,PLT-02,36
DL00126,ASN500124,P1039,2026-05-02,111,B00081,PLT-01,87
DL00126,ASN500124,P1039,2026-05-02,111,B00082,PLT-03,24
DL00127,ASN500014,P1039,2026-01-24,157,B00082,PLT-03,11
DL00127,ASN500014,P1039,2026-01-24,157,B00083,PLT-02,82
DL00128,ASN500013,P1040,2026-01-09,59,B00084,PLT-01,59
DL00129,ASN500036,P1040,2026-01-12,111,B00084,PLT-01,111
DL00130,ASN500015,P1040,2026-02-25,52,B00084,PLT-01,22
DL00130,ASN500015,P1040,2026-02-25,52,B00085,PLT-02,30
DL00131,ASN500115,P1040,2026-04-09,85,B00085,PLT-02,85
DL00132,ASN500020,P1041,2026-02-17,47,B00086,PLT-01,2
DL00132,ASN500020,P1041,2026-02-17,47,B00086,PLT-03,45
DL00133,ASN500047,P1042,2026-05-05,172,B00087,PLT-03,9
DL00133,ASN500047,P1042,2026-05-05,172,B00088,PLT-02,56
DL00133,ASN500047,P1042,2026-05-05,172,B00088,PLT-03,8
DL00133,ASN500047,P1042,2026-05-05,172,B00089,PLT-02,62
DL00133,ASN500047,P1042,2026-05-05,172,B00089,PLT-03,4
DL00135,ASN500096,P1043,2026-02-17,100,B00090,PLT-03,31
DL00135,ASN500096,P1043,2026-02-17,100,B00091,PLT-03,21
DL00135,ASN500096,P1043,2026-02-17,100,B00092,PLT-03,48
DL00136,ASN500113,P1043,2026-01-19,48,B00092,PLT-03,9
DL00138,ASN500089,P1044,2026-04-29,112,B00093,PLT-01,18
DL00138,ASN500089,P1044,2026-04-29,112,B00093,PLT-02,58
DL00138,ASN500089,P1044,2026-04-29,112,B00094,PLT-03,34
DL00138,ASN500089,P1044,2026-04-29,112,B00095,PLT-02,2
DL00139,ASN500053,P1045,2026-02-20,102,B00096,PLT-01,8
DL00139,ASN500053,P1045,2026-02-20,102,B00097,PLT-03,37
DL00139,ASN500053,P1045,2026-02-20,102,B00098,PLT-03,37
DL00140,ASN500110,P1046,2026-01-12,27,B00099,PLT-02,27
DL00141,ASN500121,P1046,2026-02-22,55,B00099,PLT-02,1
DL00141,ASN500121,P1046,2026-02-22,55,B00099,PLT-03,38
DL00146,ASN500118,P1048,2026-04-18,21,B00100,PLT-01,3
DL00146,ASN500118,P1048,2026-04-18,21,B00101,PLT-02,1
DL00146,ASN500118,P1048,2026-04-18,21,B00102,PLT-03,2
DL00147,ASN500065,P1049,2026-04-11,54,B00103,PLT-02,5
DL00147,ASN500065,P1049,2026-04-11,54,B00104,PLT-01,42
DL00147,ASN500065,P1049,2026-04-11,54,B00104,PLT-02,7
DL00149,ASN500011,P1051,2026-04-11,72,B00105,PLT-01,3
DL00149,ASN500011,P1051,2026-04-11,72,B00106,PLT-02,69
DL00150,ASN500081,P1051,2026-02-13,75,B00106,PLT-02,75
DL00151,ASN500000,P1051,2026-05-03,157,B00106,PLT-02,28
DL00151,ASN500000,P1051,2026-05-03,157,B00107,PLT-03,129
DL00152,ASN500006,P1052,2026-01-19,64,B00108,PLT-01,9
DL00152,ASN500006,P1052,2026-01-19,64,B00108,PLT-03,55
DL00153,ASN500119,P1053,2026-04-17,103,B00109,PLT-01,7
DL00153,ASN500119,P1053,2026-04-17,103,B00110,PLT-01,96
DL00154,ASN500064,P1053,2026-04-20,115,B00110,PLT-01,115
DL00155,ASN500126,P1053,2026-05-04,38,B00110,PLT-01,12
DL00155,ASN500126,P1053,2026-05-04,38,B00110,PLT-03,6
DL00157,ASN500038,P1054,2026-02-05,160,B00111,PLT-01,160
DL00158,ASN500083,P1054,2026-03-05,86,B00111,PLT-01,86
DL00159,ASN500092,P1054,2026-01-16,157,B00111,PLT-01,157
DL00160,ASN500050,P1055,2026-04-12,105,B00112,PLT-02,16
DL00160,ASN500050,P1055,2026-04-12,105,B00113,PLT-02,89
DL00161,ASN500040,P1055,2026-02-27,68,B00113,PLT-02,68
DL00162,ASN500016,P1055,2026-01-10,171,B00113,PLT-02,160
DL00162,ASN500016,P1055,2026-01-10,171,B00113,PLT-03,11
DL00163,ASN500123,P1055,2026-03-16,146,B00113,PLT-03,146
DL00164,ASN500083,P1055,2026-03-01,46,B00113,PLT-03,46
DL00165,ASN500018,P1056,2026-03-26,72,B00114,PLT-02,72
DL00166,ASN500053,P1057,2026-02-28,29,B00115,PLT-02,8
DL00167,ASN500114,P1058,2026-02-04,49,B00116,PLT-01,49
DL00168,ASN500034,P1058,2026-03-05,111,B00116,PLT-01,111
DL00169,ASN500060,P1058,2026-04-24,142,B00116,PLT-01,142
DL00171,ASN500068,P1059,2026-02-07,100,B00117,PLT-01,100
DL00172,ASN500066,P1059,2026-03-03,55,B00117,PLT-01,18
DL00176,ASN500064,P1061,2026-03-11,67,B00118,PLT-01,67
DL00177,ASN500134,P1061,2026-03-30,64,B00118,PLT-01,64
DL00178,ASN500025,P1061,2026-03-06,172,B00118,PLT-01,172
DL00179,ASN500009,P1061,2026-01-06,31,B00118,PLT-01,31
DL00180,ASN500059,P1062,2026-05-03,119,B00119,PLT-03,93
DL00180,ASN500059,P1062,2026-05-03,119,B00120,PLT-03,8
DL00180,ASN500059,P1062,2026-05-03,119,B00121,PLT-02,18
DL00181,ASN500095,P1062,2026-04-28,15,B00121,PLT-02,15
DL00182,ASN500075,P1062,2026-01-21,64,B00121,PLT-02,64
DL00183,ASN500012,P1062,2026-03-23,53,B00121,PLT-02,11
DL00184,ASN500049,P1063,2026-02-22,24,B00122,PLT-01,24
DL00185,ASN500131,P1063,2026-03-04,50,B00122,PLT-01,50
DL00186,ASN500066,P1063,2026-01-06,175,B00122,PLT-01,56
DL00186,ASN500066,P1063,2026-01-06,175,B00122,PLT-02,1
DL00186,ASN500066,P1063,2026-01-06,175,B00123,PLT-03,118
DL00187,ASN500027,P1063,2026-03-23,168,B00123,PLT-03,109
DL00189,ASN500087,P1064,2026-01-11,41,B00124,PLT-01,41
DL00190,ASN500052,P1064,2026-01-10,70,B00124,PLT-01,14
DL00190,ASN500052,P1064,2026-01-10,70,B00124,PLT-03,22
DL00192,ASN500104,P1065,2026-02-22,178,B00125,PLT-01,178
DL00193,ASN500047,P1065,2026-02-14,163,B00125,PLT-01,32
DL00193,ASN500047,P1065,2026-02-14,163,B00126,PLT-01,131
DL00194,ASN500019,P1065,2026-01-10,57,B00126,PLT-01,57
DL00203,ASN500093,P1068,2026-01-31,169,B00127,PLT-02,46
DL00203,ASN500093,P1068,2026-01-31,169,B00128,PLT-01,87
DL00203,ASN500093,P1068,2026-01-31,169,B00128,PLT-02,36
DL00204,ASN500103,P1069,2026-05-06,57,B00129,PLT-01,41
DL00204,ASN500103,P1069,2026-05-06,57,B00130,PLT-02,8
DL00204,ASN500103,P1069,2026-05-06,57,B00131,PLT-02,8
DL00205,ASN500001,P1069,2026-05-01,116,B00131,PLT-02,75
DL00208,ASN500117,P1070,2026-01-22,46,B00132,PLT-02,46
DL00209,ASN500003,P1070,2026-03-17,18,B00132,PLT-02,18
DL00210,ASN500036,P1070,2026-04-19,169,B00132,PLT-02,61
DL00210,ASN500036,P1070,2026-04-19,169,B00133,PLT-02,61
DL00210,ASN500036,P1070,2026-04-19,169,B00134,PLT-01,47
DL00211,ASN500022,P1071,2026-03-26,151,B00135,PLT-01,151
DL00212,ASN500094,P1071,2026-01-27,134,B00135,PLT-01,46
DL00212,ASN500094,P1071,2026-01-27,134,B00135,PLT-02,87
DL00215,ASN500027,P1072,2026-03-09,103,B00136,PLT-02,7
DL00215,ASN500027,P1072,2026-03-09,103,B00137,PLT-03,6
DL00215,ASN500027,P1072,2026-03-09,103,B00138,PLT-03,18
DL00218,ASN500099,P1074,2026-05-01,27,B00139,PLT-03,3
DL00218,ASN500099,P1074,2026-05-01,27,B00140,PLT-03,8
DL00218,ASN500099,P1074,2026-05-01,27,B00141,PLT-01,9
DL00219,ASN500041,P1075,2026-04-16,168,B00142,PLT-03,168
DL00220,ASN500056,P1075,2026-02-26,163,B00142,PLT-03,77
DL00220,ASN500056,P1075,2026-02-26,163,B00143,PLT-02,86
DL00221,ASN500050,P1075,2026-01-29,126,B00143,PLT-02,5
DL00221,ASN500050,P1075,2026-01-29,126,B00144,PLT-03,121
DL00222,ASN500055,P1075,2026-02-26,15,B00144,PLT-03,15
DL00223,ASN500132,P1075,2026-02-24,45,B00144,PLT-03,45
DL00224,ASN500031,P1076,2026-02-06,43,B00145,PLT-03,2
DL00224,ASN500031,P1076,2026-02-06,43,B00146,PLT-02,38
DL00224,ASN500031,P1076,2026-02-06,43,B00147,PLT-03,3
DL00225,ASN500049,P1076,2026-04-29,15,B00147,PLT-03,15
DL00226,ASN500009,P1076,2026-04-23,175,B00147,PLT-03,175
DL00227,ASN500030,P1077,2026-03-23,104,B00148,PLT-01,104
DL00228,ASN500116,P1077,2026-04-24,145,B00148,PLT-01,138
DL00228,ASN500116,P1077,2026-04-24,145,B00148,PLT-02,6
DL00230,ASN500063,P1078,2026-02-24,113,B00149,PLT-01,29
DL00230,ASN500063,P1078,2026-02-24,113,B00149,PLT-02,1
DL00230,ASN500063,P1078,2026-02-24,113,B00150,PLT-02,83
DL00231,ASN500094,P1078,2026-03-11,119,B00150,PLT-02,119
DL00232,ASN500112,P1078,2026-01-08,50,B00150,PLT-02,50
DL00233,ASN500125,P1079,2026-02-05,124,B00151,PLT-02,67
DL00233,ASN500125,P1079,2026-02-05,124,B00152,PLT-02,57
DL00234,ASN500117,P1080,2026-04-19,50,B00153,PLT-02,17
DL00234,ASN500117,P1080,2026-04-19,50,B00153,PLT-03,13
DL00234,ASN500117,P1080,2026-04-19,50,B00154,PLT-01,20
DL00235,ASN500121,P1080,2026-01-19,107,B00154,PLT-01,107
DL00236,ASN500017,P1080,2026-02-20,37,B00154,PLT-01,37
DL00237,ASN500110,P1080,2026-01-17,98,B00154,PLT-01,35
DL00237,ASN500110,P1080,2026-01-17,98,B00154,PLT-02,63
DL00238,ASN500129,P1081,2026-03-31,135,B00155,PLT-02,86
DL00238,ASN500129,P1081,2026-03-31,135,B00155,PLT-03,49
DL00239,ASN500010,P1081,2026-03-28,15,B00155,PLT-03,3
DL00239,ASN500010,P1081,2026-03-28,15,B00156,PLT-01,4
DL00239,ASN500010,P1081,2026-03-28,15,B00157,PLT-02,8
DL00240,ASN500033,P1081,2026-05-04,26,B00157,PLT-02,26
DL00241,ASN500080,P1081,2026-01-16,135,B00157,PLT-02,135
DL00242,ASN500129,P1082,2026-03-30,101,B00158,PLT-01,95
DL00242,ASN500129,P1082,2026-03-30,101,B00158,PLT-03,6
DL00243,ASN500006,P1083,2026-03-25,21,B00159,PLT-01,9
DL00243,ASN500006,P1083,2026-03-25,21,B00159,PLT-03,12
DL00244,ASN500028,P1083,2026-01-22,54,B00159,PLT-03,11
DL00245,ASN500073,P1084,2026-04-03,47,B00160,PLT-01,47
DL00246,ASN500056,P1084,2026-04-22,21,B00160,PLT-01,21
DL00247,ASN500089,P1084,2026-04-12,161,B00160,PLT-01,74
DL00247,ASN500089,P1084,2026-04-12,161,B00161,PLT-01,23
DL00247,ASN500089,P1084,2026-04-12,161,B00162,PLT-02,64
DL00248,ASN500064,P1084,2026-02-16,45,B00162,PLT-02,45
DL00249,ASN500070,P1085,2026-01-24,121,B00163,PLT-01,92
DL00249,ASN500070,P1085,2026-01-24,121,B00164,PLT-01,21
DL00249,ASN500070,P1085,2026-01-24,121,B00164,PLT-03,8
DL00250,ASN500065,P1085,2026-05-03,133,B00164,PLT-03,36
DL00250,ASN500065,P1085,2026-05-03,133,B00165,PLT-01,97
DL00251,ASN500122,P1085,2026-03-22,58,B00165,PLT-01,58
DL00252,ASN500067,P1085,2026-03-11,162,B00165,PLT-01,18
DL00252,ASN500067,P1085,2026-03-11,162,B00165,PLT-02,144
DL00253,ASN500060,P1085,2026-02-22,86,B00165,PLT-02,86
DL00254,ASN500050,P1086,2026-02-26,51,B00166,PLT-01,34
DL00254,ASN500050,P1086,2026-02-26,51,B00166,PLT-03,17
DL00257,ASN500029,P1088,2026-01-12,140,B00167,PLT-02,84
DL00257,ASN500029,P1088,2026-01-12,140,B00168,PLT-02,56
DL00258,ASN500092,P1088,2026-03-18,120,B00168,PLT-02,120
DL00259,ASN500133,P1088,2026-04-04,153,B00168,PLT-02,153
DL00260,ASN500064,P1089,2026-03-27,142,B00169,PLT-01,24
DL00260,ASN500064,P1089,2026-03-27,142,B00169,PLT-02,67
DL00260,ASN500064,P1089,2026-03-27,142,B00170,PLT-03,51
DL00261,ASN500095,P1090,2026-02-23,72,B00172,PLT-01,72
DL00262,ASN500094,P1090,2026-01-24,152,B00172,PLT-01,76
DL00262,ASN500094,P1090,2026-01-24,152,B00173,PLT-03,2
DL00262,ASN500094,P1090,2026-01-24,152,B00174,PLT-03,74
DL00263,ASN500092,P1090,2026-04-13,89,B00174,PLT-03,86
DL00267,ASN500080,P1092,2026-04-11,5,B00175,PLT-03,5
DL00268,ASN500008,P1092,2026-01-25,61,B00175,PLT-03,61
DL00269,ASN500074,P1092,2026-03-27,162,B00175,PLT-03,107
DL00276,ASN500136,P1094,2026-02-27,62,B00176,PLT-01,45
DL00276,ASN500136,P1094,2026-02-27,62,B00177,PLT-01,17
DL00277,ASN500077,P1094,2026-01-23,155,B00177,PLT-01,155
DL00278,ASN500052,P1094,2026-03-26,98,B00177,PLT-01,98
DL00279,ASN500040,P1095,2026-01-07,39,B00178,PLT-02,39
DL00280,ASN500062,P1095,2026-03-04,43,B00178,PLT-02,43
DL00281,ASN500024,P1095,2026-03-28,21,B00178,PLT-02,21
DL00282,ASN500037,P1095,2026-04-16,175,B00178,PLT-02,29
DL00282,ASN500037,P1095,2026-04-16,175,B00179,PLT-02,1
DL00282,ASN500037,P1095,2026-04-16,175,B00180,PLT-01,145
DL00283,ASN500102,P1096,2026-01-07,72,B00181,PLT-03,72
DL00284,ASN500014,P1096,2026-04-21,170,B00181,PLT-03,138
DL00284,ASN500014,P1096,2026-04-21,170,B00182,PLT-03,32
DL00285,ASN500089,P1096,2026-03-29,157,B00182,PLT-03,54
DL00285,ASN500089,P1096,2026-03-29,157,B00183,PLT-01,97
DL00285,ASN500089,P1096,2026-03-29,157,B00183,PLT-02,6
DL00293,ASN500132,P1099,2026-03-29,160,B00184,PLT-03,160
DL00294,ASN500129,P1099,2026-03-29,170,B00184,PLT-03,170
DL00295,ASN500044,P1100,2026-02-14,135,B00185,PLT-02,135
DL00296,ASN500016,P1100,2026-03-27,81,B00185,PLT-02,9
DL00296,ASN500016,P1100,2026-03-27,81,B00185,PLT-03,33
DL00296,ASN500016,P1100,2026-03-27,81,B00186,PLT-02,39
DL00297,ASN500012,P1100,2026-04-07,127,B00186,PLT-02,31
DL00297,ASN500012,P1100,2026-04-07,127,B00186,PLT-03,14
DL00297,ASN500012,P1100,2026-04-07,127,B00187,PLT-01,82
DL00298,ASN500137,P1100,2026-02-23,6,B00187,PLT-01,6
DL00299,ASN500119,P1101,2026-04-10,25,B00188,PLT-01,25
DL00300,ASN500115,P1101,2026-02-03,49,B00188,PLT-01,49
DL00301,ASN500026,P1101,2026-02-04,71,B00188,PLT-01,71
DL00302,ASN500009,P1101,2026-02-17,36,B00188,PLT-01,36
DL00303,ASN500013,P1102,2026-03-28,73,B00189,PLT-01,73
DL00304,ASN500111,P1102,2026-04-16,180,B00189,PLT-01,57
DL00304,ASN500111,P1102,2026-04-16,180,B00190,PLT-01,100
DL00304,ASN500111,P1102,2026-04-16,180,B00190,PLT-03,10
DL00304,ASN500111,P1102,2026-04-16,180,B00191,PLT-01,13
DL00305,ASN500133,P1102,2026-02-12,72,B00191,PLT-01,72
